signal_date,code,announcement_summary,event_summary
2026-04-27,688545,兴福电子:湖北兴福电子材料股份有限公司投资者关系活动记录表(2026-001),调研活动 | 兴福电子:湖北兴福电子材料股份有限公司投资者关系活动记录表(2026-001)
2026-04-27,688563,航材股份:2026年第一季度报告,一季度报告全文 | 航材股份:2026年第一季度报告
2026-04-27,688578,艾力斯:上海艾力斯医药科技股份有限公司投资者关系活动记录表(2026年4月23日),调研活动 | 艾力斯:上海艾力斯医药科技股份有限公司投资者关系活动记录表(2026年4月23日)
2026-04-27,688615,合合信息:上海合合信息科技股份有限公司2025年年度权益分派实施结果暨股份上市公告,分配方案实施 | 合合信息:上海合合信息科技股份有限公司2025年年度权益分派实施结果暨股份上市公告
2026-04-27,688627,精智达:关于向特定对象发行A股股票申请获得上海证券交易所受理的公告,其他增发事项公告 | 精智达:关于向特定对象发行A股股票申请获得上海证券交易所受理的公告
2026-04-27,688628,优利德:投资者关系活动记录表(2026-01),调研活动 | 优利德:投资者关系活动记录表(2026-01)
2026-04-27,688652,京仪装备:国泰海通证券股份有限公司关于北京京仪自动化装备技术股份有限公司2025年度持续督导工作现场检查报告,保荐/核查意见 | 京仪装备:国泰海通证券股份有限公司关于北京京仪自动化装备技术股份有限公司2025年度持续督导工作现场检查报告
2026-04-27,688662,富信科技:广东富信科技股份有限公司董事会审计委员会2025年度履职情况报告 | 富信科技:广东富信科技股份有限公司对会计师事务所履职情况评估报告 | 富信科技:广东富信科技股份有限公司关于召开2025年年度股东会的通知,其他 | 召开股东大会通知 | 年度报告摘要 | 富信科技:广东富信科技股份有限公司董事会审计委员会2025年度履职情况报告 | 富信科技:广东富信科技股份有限公司对会计师事务所履职情况评估报告 | 富信科技:广东富信科技股份有限公司关于召开2025年年度股东会的通知
2026-04-27,688676,金盘科技:2026年4月24日投资者关系活动记录表,调研活动 | 金盘科技:2026年4月24日投资者关系活动记录表
2026-04-27,688690,纳微科技:苏州纳微科技股份有限公司投资者关系活动记录表(20260420-0424),调研活动 | 纳微科技:苏州纳微科技股份有限公司投资者关系活动记录表(20260420-0424)
2026-04-27,688692,达梦数据:投资者关系活动记录表(2025年年度暨2026年第一季度业绩说明会)2026-003,调研活动 | 达梦数据:投资者关系活动记录表(2025年年度暨2026年第一季度业绩说明会)2026-003
2026-04-27,688702,盛科通信:投资者关系活动记录表-2026001(2025年度暨2026年第一季度业绩说明会),调研活动 | 盛科通信:投资者关系活动记录表-2026001(2025年度暨2026年第一季度业绩说明会)
2026-04-27,688758,赛分科技:2026年4月25日苏州赛分科技股份有限公司投资者关系活动表,调研活动 | 赛分科技:2026年4月25日苏州赛分科技股份有限公司投资者关系活动表
2026-04-27,688772,1-1珠海冠宇电池股份有限公司向特定对象发行股票募集说明书(申报稿) | 6-1致同会计师事务所(特殊普通合伙)关于珠海冠宇电池股份有限公司向特定对象发行股票的财务报告及审计报告(申报稿)(珠海冠宇电池股份有限公司) | 3-1招商证券股份有限公司关于珠海冠宇电池股份有限公司向特定对象发行股票之发行保荐书(申报稿)(珠海冠宇电池股份有限公司),科创板再融资募集说明书申报稿 | 审计报告 | 发行保荐书 | 1-1珠海冠宇电池股份有限公司向特定对象发行股票募集说明书(申报稿) | 6-1致同会计师事务所(特殊普通合伙)关于珠海冠宇电池股份有限公司向特定对象发行股票的财务报告及审计报告(申报稿)(珠海冠宇电池股份有限公司) | 3-1招商证券股份有限公司关于珠海冠宇电池股份有限公司向特定对象发行股票之发行保荐书(申报稿)(珠海冠宇电池股份有限公司)
2026-04-27,688795,摩尔线程:信息披露暂缓与豁免事务管理制度 | 摩尔线程:摩尔线程2025年度独立董事述职报告(房巧玲) | 摩尔线程:关联交易管理办法,管理办法/制度 | 独立董事述职报告 | 审计报告 | 摩尔线程:信息披露暂缓与豁免事务管理制度 | 摩尔线程:摩尔线程2025年度独立董事述职报告(房巧玲) | 摩尔线程:关联交易管理办法
2026-04-27,688800,瑞可达:关于可转债投资者适当性要求的风险提示性公告,风险提示性公告 | 瑞可达:关于可转债投资者适当性要求的风险提示性公告
2026-04-27,688809,强一股份:2025年度独立董事述职报告(叶小杰) | 强一股份:2025年年度报告 | 强一股份:2025年度独立董事述职报告(方新军),独立董事述职报告 | 年度报告全文 | 一季度报告全文 | 强一股份:2025年度独立董事述职报告(叶小杰) | 强一股份:2025年年度报告 | 强一股份:2025年度独立董事述职报告(方新军)
2026-04-27,688819,天能股份:2026-001天能股份投资者关系活动记录表,调研活动 | 天能股份:2026-001天能股份投资者关系活动记录表
2026-04-27,920008,成电光信:2025年年度权益分派预案公告 | 成电光信:董事会对独立董事独立性自查情况专项报告 | 成电光信:2025年度独立董事述职报告(丁锋),分配预案 | 自查报告 | 独立董事述职报告 | 成电光信:2025年年度权益分派预案公告 | 成电光信:董事会对独立董事独立性自查情况专项报告 | 成电光信:2025年度独立董事述职报告(丁锋)
2026-04-27,920014,特瑞斯:关于员工持股平台完成工商变更登记并取得换发营业执照的公告 | 特瑞斯:关于2025年年度报告及2026年第一季度报告延期披露的提示性公告,公司关联方基本资料变更 | 延期披露定报公告 | 特瑞斯:关于员工持股平台完成工商变更登记并取得换发营业执照的公告 | 特瑞斯:关于2025年年度报告及2026年第一季度报告延期披露的提示性公告
2026-04-27,920018,宏远股份:投资者关系活动记录表,调研活动 | 宏远股份:投资者关系活动记录表
2026-04-27,920019,铜冠矿建:2026年第一次临时股东会决议公告 | 铜冠矿建:北京海润天睿律师事务所关于铜陵有色金属集团铜冠矿山建设股份有限公司2026年第一次临时股东会的法律意见书,股东大会决议公告 | 法律意见书 | 铜冠矿建:2026年第一次临时股东会决议公告 | 铜冠矿建:北京海润天睿律师事务所关于铜陵有色金属集团铜冠矿山建设股份有限公司2026年第一次临时股东会的法律意见书
2026-04-27,920020,泰凯英:投资者关系活动记录表,调研活动 | 泰凯英:投资者关系活动记录表
2026-04-27,920023,田野股份:股票可能被实施退市风险警示的风险提示公告,其它风险提示公告 | 田野股份:股票可能被实施退市风险警示的风险提示公告
2026-04-27,920030,德众汽车:2026年一季度报告 | 德众汽车:第四届董事会第十九次会议决议公告,一季度报告全文 | 董事会决议公告 | 德众汽车:2026年一季度报告 | 德众汽车:第四届董事会第十九次会议决议公告
2026-04-27,920035,精创电气:第五届董事会第二十一次会议决议公告 | 精创电气:关于对外投资设立全资子公司的公告 | 精创电气:2026年一季度报告,董事会决议公告 | 投资设立公司 | 一季度报告全文 | 精创电气:第五届董事会第二十一次会议决议公告 | 精创电气:关于对外投资设立全资子公司的公告 | 精创电气:2026年一季度报告
2026-04-27,920037,广信科技:2025年年度权益分派实施公告,分配方案实施 | 广信科技:2025年年度权益分派实施公告
2026-04-27,920082,方正阀门:第三届董事会第四次会议决议公告 | 方正阀门:2026年一季度报告,董事会决议公告 | 一季度报告全文 | 方正阀门:第三届董事会第四次会议决议公告 | 方正阀门:2026年一季度报告
2026-04-27,920086,科马材料:关于投资者关系活动记录表的公告 | 科马材料:2025年年度报告业绩说明会预告公告,调研活动 | 其他 | 科马材料:关于投资者关系活动记录表的公告 | 科马材料:2025年年度报告业绩说明会预告公告
2026-04-27,920087,秋乐种业:招商证券股份有限公司关于河南秋乐种业科技股份有限公司2025年度募集资金存放与实际使用情况的专项核查报告,保荐/核查意见 | 秋乐种业:招商证券股份有限公司关于河南秋乐种业科技股份有限公司2025年度募集资金存放与实际使用情况的专项核查报告
2026-04-27,920091,大鹏工业:2025年年度报告摘要 | 大鹏工业:2026年度董事、高级管理人员薪酬方案 | 大鹏工业:2025年度会计师事务所履职情况评估报告,年度报告摘要 | 其他 | 管理办法/制度 | 大鹏工业:2025年年度报告摘要 | 大鹏工业:2026年度董事、高级管理人员薪酬方案 | 大鹏工业:2025年度会计师事务所履职情况评估报告
2026-04-27,920099,瑞华技术:董事会关于2025年度独立董事独立性自查情况的专项报告 | 瑞华技术:关于2026年度董事、高级管理人员薪酬方案的公告 | 瑞华技术:2025年度审计报告,自查报告 | 其他 | 审计报告 | 瑞华技术:董事会关于2025年度独立董事独立性自查情况的专项报告 | 瑞华技术:关于2026年度董事、高级管理人员薪酬方案的公告 | 瑞华技术:2025年度审计报告
2026-04-27,920100,三协电机:独立董事2025年度述职报告(夏卫军) | 三协电机:2025年度会计师事务所履职情况评估报告 | 三协电机:关于召开2025年年度股东会通知公告,独立董事述职报告 | 其他 | 召开股东大会通知 | 三协电机:独立董事2025年度述职报告(夏卫军) | 三协电机:2025年度会计师事务所履职情况评估报告 | 三协电机:关于召开2025年年度股东会通知公告
2026-04-27,920106,林泰新材:2025年年度报告业绩说明会预告公告,其他 | 林泰新材:2025年年度报告业绩说明会预告公告
2026-04-27,920112,巴兰仕:2025年年度报告业绩说明会预告公告,其他 | 巴兰仕:2025年年度报告业绩说明会预告公告
2026-04-27,920119,美德乐:关于使用闲置自有资金进行现金管理的进展公告 | 美德乐:关于使用闲置募集资金进行现金管理的进展公告,投资理财 | 募集资金使用进展情况 | 美德乐:关于使用闲置自有资金进行现金管理的进展公告 | 美德乐:关于使用闲置募集资金进行现金管理的进展公告
2026-04-27,920123,芭薇股份:天职国际会计师事务所(特殊普通合伙)关于广东芭薇生物科技股份有限公司2025年度控股股东及其他关联方资金占用情况的专项说明 | 芭薇股份:董事会审计委员会对会计师事务所履行监督职责情况报告 | 芭薇股份:董事、高级管理人员薪酬管理制度,专项说明/独立意见 | 其他 | 管理办法/制度 | 芭薇股份:天职国际会计师事务所(特殊普通合伙)关于广东芭薇生物科技股份有限公司2025年度控股股东及其他关联方资金占用情况的专项说明 | 芭薇股份:董事会审计委员会对会计师事务所履行监督职责情况报告 | 芭薇股份:董事、高级管理人员薪酬管理制度
2026-04-27,920124,南特科技:2026年一季度报告 | 南特科技:第五届董事会2026年第二次会议决议公告,一季度报告全文 | 董事会决议公告 | 南特科技:2026年一季度报告 | 南特科技:第五届董事会2026年第二次会议决议公告
2026-04-27,920125,鸿仕达:关于签署募集资金三方监管协议的公告,签订协议 | 鸿仕达:关于签署募集资金三方监管协议的公告
2026-04-27,920159,农大科技:关于开立募集资金现金管理专用结算账户并使用部分闲置募集资金进行现金管理的进展公告,募集资金使用进展情况 | 农大科技:关于开立募集资金现金管理专用结算账户并使用部分闲置募集资金进行现金管理的进展公告
2026-04-27,920163,方大新材:第四届董事会第六次会议决议公告 | 方大新材:关于开展外汇套期保值业务可行性报告 | 方大新材:董事会议事规则,高管人员任职变动 | 其他 | 议事规则/实施细则 | 方大新材:第四届董事会第六次会议决议公告 | 方大新材:关于开展外汇套期保值业务可行性报告 | 方大新材:董事会议事规则
2026-04-27,920179,凯德石英:天风证券股份有限公司关于北京凯德石英股份有限公司2025年度持续督导跟踪报告 | 凯德石英:关于投资者关系活动记录表的公告 | 凯德石英:天风证券股份有限公司关于北京凯德石英股份有限公司2025年度持续督导定期现场检查报告,保荐/核查意见 | 调研活动 | 凯德石英:天风证券股份有限公司关于北京凯德石英股份有限公司2025年度持续督导跟踪报告 | 凯德石英:关于投资者关系活动记录表的公告 | 凯德石英:天风证券股份有限公司关于北京凯德石英股份有限公司2025年度持续督导定期现场检查报告
2026-04-27,920180,爱得科技:第四届董事会第十八次会议决议公告 | 爱得科技:2026年一季度报告,董事会决议公告 | 一季度报告全文 | 爱得科技:第四届董事会第十八次会议决议公告 | 爱得科技:2026年一季度报告
2026-04-27,920186,中科仪:关于公司股票在全国中小企业股份转让系统终止挂牌的提示性公告 | 中科仪:向不特定合格投资者公开发行股票并在北京证券交易所上市公告书 | 中科仪:向不特定合格投资者公开发行股票并在北京证券交易所上市提示性公告,终止上市提示公告 | 首发上市公告书 | 首发提示性公告 | 中科仪:关于公司股票在全国中小企业股份转让系统终止挂牌的提示性公告 | 中科仪:向不特定合格投资者公开发行股票并在北京证券交易所上市公告书 | 中科仪:向不特定合格投资者公开发行股票并在北京证券交易所上市提示性公告
2026-04-27,920188,悦龙科技:2025年内部控制评价报告 | 悦龙科技:审计委员会对会计师事务所履行监督职责情况报告 | 悦龙科技:2025年度董事会工作报告,内部控制报告 | 其他 | 保荐/核查意见 | 悦龙科技:2025年内部控制评价报告 | 悦龙科技:审计委员会对会计师事务所履行监督职责情况报告 | 悦龙科技:2025年度董事会工作报告
2026-04-27,920190,雷神科技:第四届董事会专门委员会换届公告 | 雷神科技:董事长、高级管理人员、证券事务代表换届公告 | 雷神科技:锦天城关于雷神科技2025年年度股东会的法律意见书,高管人员任职变动 | 法律意见书 | 公司章程 | 雷神科技:第四届董事会专门委员会换届公告 | 雷神科技:董事长、高级管理人员、证券事务代表换届公告 | 雷神科技:锦天城关于雷神科技2025年年度股东会的法律意见书
2026-04-27,920207,众诚科技:长江证券承销保荐有限公司关于河南众诚信息科技股份有限公司2025年度持续督导定期现场检查报告 | 众诚科技:关于申请综合授信的公告 | 众诚科技:天健会计师事务所(特殊普通合伙)关于河南众诚信息科技股份有限公司2025年度营业收入扣除情况的专项核查意见,保荐/核查意见 | 借贷 | 独立董事述职报告 | 众诚科技:长江证券承销保荐有限公司关于河南众诚信息科技股份有限公司2025年度持续督导定期现场检查报告 | 众诚科技:关于申请综合授信的公告 | 众诚科技:天健会计师事务所(特殊普通合伙)关于河南众诚信息科技股份有限公司2025年度营业收入扣除情况的专项核查意见
2026-04-27,920220,朗信电气:2026年1-3月审阅报告 | 朗信电气:独立董事关于第一届董事会第二十六次会议相关事项的独立意见 | 朗信电气:第一届董事会第二十六次会议决议公告,保荐/核查意见 | 专项说明/独立意见 | 董事会决议公告 | 朗信电气:2026年1-3月审阅报告 | 朗信电气:独立董事关于第一届董事会第二十六次会议相关事项的独立意见 | 朗信电气:第一届董事会第二十六次会议决议公告
2026-04-27,920221,易实精密:关于2026年度董事、高级管理人员薪酬方案的公告 | 易实精密:第四届董事会第十一次会议决议公告 | 易实精密:2025年度独立董事述职报告(贾亚军),其他 | 分配预案 | 独立董事述职报告 | 易实精密:关于2026年度董事、高级管理人员薪酬方案的公告 | 易实精密:第四届董事会第十一次会议决议公告 | 易实精密:2025年度独立董事述职报告(贾亚军)
2026-04-27,920225,利通科技:2026年一季度报告 | 利通科技:第四届董事会第二十三次会议决议,一季度报告全文 | 董事会决议公告 | 利通科技:2026年一季度报告 | 利通科技:第四届董事会第二十三次会议决议
2026-04-27,920239,长虹能源:关于开展外汇套期保值业务的可行性分析报告 | 长虹能源:第四届董事会第六次会议决议公告 | 长虹能源:关于四川长虹新能源科技股份有限公司涉及财务公司关联交易的存款、贷款等金融业务的专项说明,其他 | 分配预案 | 专项说明/独立意见 | 长虹能源:关于开展外汇套期保值业务的可行性分析报告 | 长虹能源:第四届董事会第六次会议决议公告 | 长虹能源:关于四川长虹新能源科技股份有限公司涉及财务公司关联交易的存款、贷款等金融业务的专项说明
2026-04-27,920247,华密新材:第四届董事会第十一次会议决议公告 | 华密新材:2026年一季度报告,董事会决议公告 | 一季度报告全文 | 华密新材:第四届董事会第十一次会议决议公告 | 华密新材:2026年一季度报告
2026-04-27,920252,天宏锂电:审计委员会对会计师事务所履行监督职责情况报告 | 天宏锂电:关于2025年年度报告和2026年第一季度报告变更披露日期的提示性公告 | 天宏锂电:2025年年度权益分派预案公告,其他 | 分配预案 | 年度报告全文 | 天宏锂电:审计委员会对会计师事务所履行监督职责情况报告 | 天宏锂电:关于2025年年度报告和2026年第一季度报告变更披露日期的提示性公告 | 天宏锂电:2025年年度权益分派预案公告
2026-04-27,920260,中寰股份:关于使用闲置自有资金购买理财产品的进展公告,投资理财 | 中寰股份:关于使用闲置自有资金购买理财产品的进展公告
2026-04-27,920261,一诺威:投资者关系活动记录表,调研活动 | 一诺威:投资者关系活动记录表
2026-04-27,920267,鑫汇科:2025年度审计报告 | 鑫汇科:关于营业收入扣除情况的专项核查意见 | 鑫汇科:关于计提资产减值准备的公告,审计报告 | 保荐/核查意见 | 其他 | 鑫汇科:2025年度审计报告 | 鑫汇科:关于营业收入扣除情况的专项核查意见 | 鑫汇科:关于计提资产减值准备的公告
2026-04-27,920270,天铭科技:第四届董事会第十次会议决议公告 | 天铭科技:2026年一季度报告,董事会决议公告 | 一季度报告全文 | 天铭科技:第四届董事会第十次会议决议公告 | 天铭科技:2026年一季度报告
2026-04-27,920271,邦德股份:2025年度权益分派实施公告,分配方案实施 | 邦德股份:2025年度权益分派实施公告
2026-04-27,920273,一致魔芋:关于注销部分募集资金专项账户的公告,募集资金使用情况报告 | 一致魔芋:关于注销部分募集资金专项账户的公告
2026-04-27,920274,宏裕包材:2026年一季度报告 | 宏裕包材:第四届董事会第六次会议决议公告,一季度报告全文 | 董事会决议公告 | 宏裕包材:2026年一季度报告 | 宏裕包材:第四届董事会第六次会议决议公告
2026-04-27,920346,威贸电子:关于上海威贸电子股份有限公司非经营性资金占用及其他关联资金往来情况汇总表的专项审核报告 | 威贸电子:申万宏源证券承销保荐有限责任公司关于上海威贸电子股份有限公司2025年度募集资金存放、管理与实际使用情况的专项核查报告 | 威贸电子:募集资金存放、管理与实际使用情况的专项报告,专项说明/独立意见 | 保荐/核查意见 | 募集资金使用情况报告 | 威贸电子:关于上海威贸电子股份有限公司非经营性资金占用及其他关联资金往来情况汇总表的专项审核报告 | 威贸电子:申万宏源证券承销保荐有限责任公司关于上海威贸电子股份有限公司2025年度募集资金存放、管理与实际使用情况的专项核查报告 | 威贸电子:募集资金存放、管理与实际使用情况的专项报告
2026-04-27,920378,泰德股份:2025年年度报告暨2026年一季度报告业绩说明会预告公告,其他 | 泰德股份:2025年年度报告暨2026年一季度报告业绩说明会预告公告
2026-04-27,920396,常辅股份:北京海润天睿律师事务所关于常州电站辅机股份有限公司2026年第二次临时股东会法律意见书 | 常辅股份:2026年第二次临时股东会决议公告,法律意见书 | 股东大会决议公告 | 常辅股份:北京海润天睿律师事务所关于常州电站辅机股份有限公司2026年第二次临时股东会法律意见书 | 常辅股份:2026年第二次临时股东会决议公告
2026-04-27,920402,硅烷科技:中信证券股份有限公司关于河南硅烷科技发展股份有限公司2025年度持续督导工作现场检查报告 | 硅烷科技:中信证券股份有限公司关于河南硅烷科技发展股份有限公司2025年年度持续督导跟踪报告 | 硅烷科技:中信证券股份有限公司关于河南硅烷科技发展股份有限公司向不特定合格投资者公开发行股票之保荐总结报告书,保荐/核查意见 | 硅烷科技:中信证券股份有限公司关于河南硅烷科技发展股份有限公司2025年度持续督导工作现场检查报告 | 硅烷科技:中信证券股份有限公司关于河南硅烷科技发展股份有限公司2025年年度持续督导跟踪报告 | 硅烷科技:中信证券股份有限公司关于河南硅烷科技发展股份有限公司向不特定合格投资者公开发行股票之保荐总结报告书
2026-04-27,920403,康农种业:关于召开2025年年度股东会通知公告(提供网络投票) | 康农种业:关于湖北康农种业股份有限公司非经营性资金占用及其他关联资金往来情况的专项说明 | 康农种业:审计委员会对会计师事务所履行监督职责情况报告,召开股东大会通知 | 专项说明/独立意见 | 其他 | 康农种业:关于召开2025年年度股东会通知公告(提供网络投票) | 康农种业:关于湖北康农种业股份有限公司非经营性资金占用及其他关联资金往来情况的专项说明 | 康农种业:审计委员会对会计师事务所履行监督职责情况报告
2026-04-27,920405,海希通讯:关于变更签字注册会计师的公告 | 海希通讯:关于为全资子公司提供担保的公告,公司关联方基本资料变更 | 提供/对外担保公告 | 海希通讯:关于变更签字注册会计师的公告 | 海希通讯:关于为全资子公司提供担保的公告
2026-04-27,920407,驰诚股份:2025年度独立董事述职报告(韩新宽) | 驰诚股份:开源证券股份有限公司关于河南驰诚电气股份有限公司2025年度募集资金存放与使用情况的专项核查意见 | 驰诚股份:2025年度董事会工作报告,独立董事述职报告 | 保荐/核查意见 | 其他 | 驰诚股份:2025年度独立董事述职报告(韩新宽) | 驰诚股份:开源证券股份有限公司关于河南驰诚电气股份有限公司2025年度募集资金存放与使用情况的专项核查意见 | 驰诚股份:2025年度董事会工作报告
2026-04-27,920415,恒拓开源:关于2026年员工持股计划完成股票非交易过户公告,员工持股计划 | 恒拓开源:关于2026年员工持股计划完成股票非交易过户公告
2026-04-27,920438,戈碧迦:中信建投证券股份有限公司关于湖北戈碧迦光电科技股份有限公司2025年度募集资金存放、管理和使用情况的专项核查报告 | 戈碧迦:募集资金存放、管理与实际使用情况的专项报告 | 戈碧迦:关于2026年度董事、高级管理人员薪酬方案的公告,保荐/核查意见 | 募集资金使用情况报告 | 其他 | 戈碧迦:中信建投证券股份有限公司关于湖北戈碧迦光电科技股份有限公司2025年度募集资金存放、管理和使用情况的专项核查报告 | 戈碧迦:募集资金存放、管理与实际使用情况的专项报告 | 戈碧迦:关于2026年度董事、高级管理人员薪酬方案的公告
2026-04-27,920455,汇隆活塞:关于使用部分闲置募集资金现金管理进展的公告,募集资金使用进展情况 | 汇隆活塞:关于使用部分闲置募集资金现金管理进展的公告
2026-04-27,920471,美邦科技:2025年度内部控制审计报告 | 美邦科技:第四届董事会第十二次会议决议公告 | 美邦科技:董事会审计委员会2025年度履职情况报告,审计报告 | 分配预案 | 其他 | 美邦科技:2025年度内部控制审计报告 | 美邦科技:第四届董事会第十二次会议决议公告 | 美邦科技:董事会审计委员会2025年度履职情况报告
2026-04-27,920476,海能技术:关于召开2026年第一次临时股东会通知公告(提供网络投票) | 海能技术:关于前次募集资金使用情况专项报告 | 海能技术:关于公司2026年度以简易程序向特定对象发行股票募集说明书(草案)的提示性公告,召开股东大会通知 | 募集资金使用情况报告 | 增发提示性公告 | 海能技术:关于召开2026年第一次临时股东会通知公告(提供网络投票) | 海能技术:关于前次募集资金使用情况专项报告 | 海能技术:关于公司2026年度以简易程序向特定对象发行股票募集说明书(草案)的提示性公告
2026-04-27,920493,并行科技:关于购买资产的进展公告,收购出售资产/股权 | 并行科技:关于购买资产的进展公告
2026-04-27,920504,博迅生物:2025年年度权益分派实施公告,分配方案实施 | 博迅生物:2025年年度权益分派实施公告
2026-04-27,920508,殷图网联:拟续聘2026年度会计师事务所公告 | 殷图网联:第四届董事会第十二次会议决议公告 | 殷图网联:2025年度审计报告,审计机构变更 | 分配预案 | 审计报告 | 殷图网联:拟续聘2026年度会计师事务所公告 | 殷图网联:第四届董事会第十二次会议决议公告 | 殷图网联:2025年度审计报告
2026-04-27,920527,夜光明:2025年度独立董事述职报告(方小桃) | 夜光明:立信会计师事务所(特殊普通合伙)关于浙江夜光明光电科技股份有限公司2025年度募集资金存放、管理与实际使用情况的鉴证报告 | 夜光明:董事会审计委员会2025年度履职情况报告,独立董事述职报告 | 保荐/核查意见 | 其他 | 夜光明:2025年度独立董事述职报告(方小桃) | 夜光明:立信会计师事务所(特殊普通合伙)关于浙江夜光明光电科技股份有限公司2025年度募集资金存放、管理与实际使用情况的鉴证报告 | 夜光明:董事会审计委员会2025年度履职情况报告
2026-04-27,920547,无锡晶海:2026年一季度报告 | 无锡晶海:2025年年度报告摘要 | 无锡晶海:董事会审计委员会2025年度履职情况报告,一季度报告全文 | 年度报告摘要 | 其他 | 无锡晶海:2026年一季度报告 | 无锡晶海:2025年年度报告摘要 | 无锡晶海:董事会审计委员会2025年度履职情况报告
2026-04-27,920556,雅达股份:东莞证券股份有限公司关于广东雅达电子股份有限公司2025年度持续督导跟踪报告 | 雅达股份:2025年年度报告暨2026年第一季度报告业绩说明会预告公告 | 雅达股份:东莞证券股份有限公司关于广东雅达电子股份有限公司2025年度持续督导定期现场检查报告,保荐/核查意见 | 其他 | 雅达股份:东莞证券股份有限公司关于广东雅达电子股份有限公司2025年度持续督导跟踪报告 | 雅达股份:2025年年度报告暨2026年第一季度报告业绩说明会预告公告 | 雅达股份:东莞证券股份有限公司关于广东雅达电子股份有限公司2025年度持续督导定期现场检查报告
2026-04-27,920564,天润科技:董事会审计委员会2025年度履职情况报告 | 天润科技:2025年年度报告 | 天润科技:开源证券股份有限公司关于陕西天润科技股份有限公司2025年度募集资金存放与使用情况的专项核查报告,其他 | 年度报告全文 | 保荐/核查意见 | 天润科技:董事会审计委员会2025年度履职情况报告 | 天润科技:2025年年度报告 | 天润科技:开源证券股份有限公司关于陕西天润科技股份有限公司2025年度募集资金存放与使用情况的专项核查报告
2026-04-27,920570,坤博精工:股东拟减持股份的预披露公告(再次披露),股东/实际控制人股份减持 | 坤博精工:股东拟减持股份的预披露公告(再次披露)
2026-04-27,920571,国航远洋:第九届董事会第七次会议决议公告 | 国航远洋:2026年一季度报告,董事会决议公告 | 一季度报告全文 | 国航远洋:第九届董事会第七次会议决议公告 | 国航远洋:2026年一季度报告
2026-04-27,920576,天力复合:董事会审计委员会2025年度履职情况报告 | 天力复合:2026年一季度报告 | 天力复合:2025年年度权益分派预案公告,其他 | 一季度报告全文 | 分配预案 | 天力复合:董事会审计委员会2025年度履职情况报告 | 天力复合:2026年一季度报告 | 天力复合:2025年年度权益分派预案公告
2026-04-27,920599,同力股份:投资者关系活动记录表,调研活动 | 同力股份:投资者关系活动记录表
2026-04-27,920640,富士达:2025年年度股东会决议公告 | 富士达:关于调整公司第八届董事会专门委员会委员的公告 | 富士达:上海市锦天城(西安)律师事务所关于中航富士达科技股份有限公司2025年年度股东会律师见证的法律意见书,分配方案决议公告 | 高管人员任职变动 | 法律意见书 | 富士达:2025年年度股东会决议公告 | 富士达:关于调整公司第八届董事会专门委员会委员的公告 | 富士达:上海市锦天城(西安)律师事务所关于中航富士达科技股份有限公司2025年年度股东会律师见证的法律意见书
2026-04-27,920685,新芝生物:立信会计师事务所(特殊普通合伙)关于宁波新芝生物科技股份有限公司2025年度募集资金存放、管理与使用情况专项报告的鉴证报告 | 新芝生物:2025年度内部控制评价报告 | 新芝生物:2026年一季度报告,保荐/核查意见 | 内部控制报告 | 一季度报告全文 | 新芝生物:立信会计师事务所(特殊普通合伙)关于宁波新芝生物科技股份有限公司2025年度募集资金存放、管理与使用情况专项报告的鉴证报告 | 新芝生物:2025年度内部控制评价报告 | 新芝生物:2026年一季度报告
2026-04-27,920690,捷众科技:2025年度董事会工作报告 | 捷众科技:独立董事2025年度述职报告(鲍航) | 捷众科技:独立董事2025年度述职报告(陈红岩),其他 | 独立董事述职报告 | 召开股东大会通知 | 捷众科技:2025年度董事会工作报告 | 捷众科技:独立董事2025年度述职报告(鲍航) | 捷众科技:独立董事2025年度述职报告(陈红岩)
2026-04-27,920706,铁拓机械:持股5%以上股东拟减持股份的预披露公告,股东/实际控制人股份减持 | 铁拓机械:持股5%以上股东拟减持股份的预披露公告
2026-04-27,920717,瑞星股份:2025年度独立董事述职报告(苏毅) | 瑞星股份:大信会计师事务所(特殊普通合伙)关于河北瑞星燃气设备股份有限公司营业收入扣除事项是否符合规定及扣除后的营业收入金额出具的专项核查意见 | 瑞星股份:2025年度董事会工作报告,独立董事述职报告 | 保荐/核查意见 | 其他 | 瑞星股份:2025年度独立董事述职报告(苏毅) | 瑞星股份:大信会计师事务所(特殊普通合伙)关于河北瑞星燃气设备股份有限公司营业收入扣除事项是否符合规定及扣除后的营业收入金额出具的专项核查意见 | 瑞星股份:2025年度董事会工作报告
2026-04-27,920748,路桥信息:2025年度募集资金存放、管理与实际使用情况的专项报告 | 路桥信息:董事会关于在任独立董事独立性自查情况的专项报告 | 路桥信息:第四届董事会第二次会议决议公告,募集资金使用情况报告 | 自查报告 | 分配预案 | 路桥信息:2025年度募集资金存放、管理与实际使用情况的专项报告 | 路桥信息:董事会关于在任独立董事独立性自查情况的专项报告 | 路桥信息:第四届董事会第二次会议决议公告
2026-04-27,920768,拾比佰:第六届董事会第三次会议决议公告 | 拾比佰:2026年一季度报告,董事会决议公告 | 一季度报告全文 | 拾比佰:第六届董事会第三次会议决议公告 | 拾比佰:2026年一季度报告
